Date,ThreeMonthRate %
1996-Q3,5.64
1996-Q4,5.61
1997-Q1,5.91
1997-Q2,6.19
1997-Q3,7.47
1997-Q4,9.39
1998-Q1,6.51
1998-Q2,9.97
1998-Q3,8.12
1998-Q4,5.39
1999-Q1,5.75
1999-Q2,5.87
1999-Q3,5.80
1999-Q4,5.88
2000-Q1,6.11
2000-Q2,6.49
2000-Q3,6.34
2000-Q4,5.93
2001-Q1,4.94
2001-Q2,3.80
2001-Q3,2.48
2001-Q4,2.07
2002-Q1,2.27
2002-Q2,1.83
2002-Q3,1.89
2002-Q4,1.50
2003-Q1,1.38
2003-Q2,1.11
2003-Q3,0.81
2003-Q4,0.15
2004-Q1,0.17
2004-Q2,0.46
2004-Q3,1.12
2004-Q4,0.35
2005-Q1,2.72
2005-Q2,3.39
2005-Q3,4.21
2005-Q4,4.23
2006-Q1,4.44
2006-Q2,4.56
2006-Q3,4.21
2006-Q4,3.90
2007-Q1,4.20
2007-Q2,4.47
2007-Q3,5.15
2007-Q4,3.45
2008-Q1,1.98
2008-Q2,2.31
2008-Q3,3.66
2008-Q4,0.95
2009-Q1,0.90
2009-Q2,0.36
2009-Q3,0.22
2009-Q4,0.14
2010-Q1,0.15
2010-Q2,0.57
2010-Q3,0.33
2010-Q4,0.28
2011-Q1,0.26
2011-Q2,0.26
2011-Q3,0.28
2011-Q4,0.38
2012-Q1,0.40
2012-Q2,0.40
2012-Q3,0.40
2012-Q4,0.40
2013-Q1,0.38
2013-Q2,0.38
2013-Q3,0.39
2013-Q4,0.38
2014-Q1,0.37
2014-Q2,0.38
2014-Q3,0.38
2014-Q4,0.38
2015-Q1,0.39
2015-Q2,0.39
2015-Q3,0.40
2015-Q4,0.39
2016-Q1,0.56
2016-Q2,0.57
2016-Q3,0.59
2016-Q4,1.02
2017-Q1,0.94
2017-Q2,0.78
2017-Q3,0.78
2017-Q4,1.31
2018-Q1,1.21
2018-Q2,2.10
2018-Q3,2.28
2018-Q4,2.33
2019-Q1,1.76
2019-Q2,2.46
2019-Q3,2.26
2019-Q4,2.43
2020-Q1,1.93
2020-Q2,0.78
2020-Q3,0.61
2020-Q4,0.35
2021-Q1,0.23
2021-Q2,0.17
2021-Q3,0.14
2021-Q4,0.26
2022-Q1,0.55
2022-Q2,1.75
2022-Q3,3.33
2022-Q4,4.99
2023-Q1,3.71
2023-Q2,4.97
2023-Q3,5.27
2023-Q4,5.15
2024-Q1,4.72
2024-Q2,4.75
2024-Q3,4.18
2024-Q4,4.37
2025-Q1,3.88
2025-Q2,1.68
2025-Q3,3.53
2025-Q4,2.93
2026-Q1,2.36