Period,Maturity,Rate
1996,3M,5.61
199609,3M,5.64
199612,3M,5.61
1997,3M,9.39
199703,3M,5.91
199706,3M,6.19
199709,3M,7.47
199712,3M,9.39
1998,3M,5.39
199803,3M,6.51
199806,3M,9.97
199809,3M,8.12
199812,3M,5.39
1999,3M,5.88
199903,3M,5.75
199906,3M,5.87
199909,3M,5.8
199912,3M,5.88
2000,3M,5.93
200003,3M,6.11
200006,3M,6.49
200009,3M,6.34
200012,3M,5.93
2001,3M,2.07
200103,3M,4.94
200106,3M,3.8
200109,3M,2.48
200112,3M,2.07
2002,3M,1.5
200203,3M,2.27
200206,3M,1.83
200209,3M,1.89
200212,3M,1.5
2003,3M,0.15
200303,3M,1.38
200306,3M,1.11
200309,3M,0.81
200312,3M,0.15
2004,3M,0.35
200403,3M,0.17
200406,3M,0.46
200409,3M,1.12
200412,3M,0.35
2005,3M,4.23
200503,3M,2.72
200506,3M,3.39
200509,3M,4.21
200512,3M,4.23
2006,3M,3.9
200603,3M,4.44
200606,3M,4.56
200609,3M,4.21
200612,3M,3.9
2007,3M,3.45
200703,3M,4.2
200706,3M,4.47
200709,3M,5.15
200712,3M,3.45
2008,3M,0.95
200803,3M,1.98
200806,3M,2.31
200809,3M,3.66
200812,3M,0.95
2009,3M,0.14
200903,3M,0.9
200906,3M,0.36
200909,3M,0.22
200912,3M,0.14
2010,3M,0.28
201003,3M,0.15
201006,3M,0.57
201009,3M,0.33
201012,3M,0.28
2011,3M,0.38
201103,3M,0.26
201106,3M,0.26
201109,3M,0.28
201112,3M,0.38
2012,3M,0.4
201203,3M,0.4
201206,3M,0.4
201209,3M,0.4
201212,3M,0.4
2013,3M,0.38
201303,3M,0.38
201306,3M,0.38
201309,3M,0.39
201312,3M,0.38
2014,3M,0.38
201403,3M,0.37
201406,3M,0.38
201409,3M,0.38
201412,3M,0.38
2015,3M,0.39
201503,3M,0.39
201506,3M,0.39
201509,3M,0.4
201512,3M,0.39
2016,3M,1.02
201603,3M,0.56
201606,3M,0.57
201609,3M,0.59
201612,3M,1.02
2017,3M,1.31
201703,3M,0.94
201706,3M,0.78
201709,3M,0.78
201712,3M,1.31
2018,3M,2.33
201803,3M,1.21
201806,3M,2.1
201809,3M,2.28
201812,3M,2.33
2019,3M,2.43
201903,3M,1.76
201906,3M,2.46
201909,3M,2.26
201912,3M,2.43
2020,3M,0.35
202003,3M,1.93
202006,3M,0.78
202009,3M,0.61
202012,3M,0.35
2021,3M,0.26
202103,3M,0.23
202106,3M,0.17
202109,3M,0.14
202112,3M,0.26
2022,3M,4.99
202203,3M,0.55
202206,3M,1.75
202209,3M,3.33
202212,3M,4.99
2023,3M,5.15
202303,3M,3.71
202306,3M,4.97
202309,3M,5.27
202312,3M,5.15
2024,3M,4.37
202403,3M,4.72
202406,3M,4.75
202409,3M,4.18
202412,3M,4.37
2025,3M,2.93
202503,3M,3.88
202506,3M,1.68
202509,3M,3.53
202512,3M,2.93
202603,3M,2.36